Name,Rank,Volume,Price(BTC),Vol/Price,Vol/Rank,URL1
NAV Coin,57,498114.0,0.00015557,3201864112,8738,http://coinmarketcap.com/currencies/nav-coin
Bitcrystals,58,140929.0,0.00022371,629962898,2429,http://coinmarketcap.com/currencies/bitcrystals
Gulden,59,67858.8,0.00002557,2653844348,1150,http://coinmarketcap.com/currencies/gulden
Counterparty,61,119477.0,0.00300581,39748686,1958,http://coinmarketcap.com/currencies/counterparty
BlackCoin,62,502934.0,0.00010120,4969703557,8111,http://coinmarketcap.com/currencies/blackcoin
Creditbit,63,647382.0,0.00060975,1061717097,10275,http://coinmarketcap.com/currencies/creditbit
Crown,64,29256.5,0.00054647,53537248,457,http://coinmarketcap.com/currencies/crown
BitBay,65,156775.0,0.00000661,23717851739,2411,http://coinmarketcap.com/currencies/bitbay
Ubiq,66,60185.3,0.00017481,344289800,911,http://coinmarketcap.com/currencies/ubiq
Synereo,67,443406.0,0.00007653,5793884751,6618,http://coinmarketcap.com/currencies/synereo
PotCoin,68,208318.0,0.00002892,7203250345,3063,http://coinmarketcap.com/currencies/potcoin
Chronobank,69,339437.0,0.00859028,39514078,4919,http://coinmarketcap.com/currencies/chronobank
I/O Coin,70,19265.7,0.00037106,51920713,275,http://coinmarketcap.com/currencies/iocoin
Edgeless,71,239080.0,0.00007986,2993739043,3367,http://coinmarketcap.com/currencies/edgeless
Bankcoin,72,17172.1,0.00140200,12248288,238,http://coinmarketcap.com/currencies/bankcoin
Global Currency Reserve,73,107616.0,0.00005676,1895983086,1474,http://coinmarketcap.com/currencies/global-currency-reserve
DigiByte,75,563053.0,0.00000070,804361428571,7507,http://coinmarketcap.com/currencies/digibyte
Matchpool,76,406757.0,0.00009471,4294762960,5352,http://coinmarketcap.com/currencies/guppy
ZClassic,77,220273.0,0.00440335,50023959,2860,http://coinmarketcap.com/currencies/zclassic
Novacoin,78,2359310.0,0.00301673,782075293,30247,http://coinmarketcap.com/currencies/novacoin
vSlice,79,174981.0,0.00014441,1211695865,2214,http://coinmarketcap.com/currencies/vslice
Nexium,80,98298.4,0.00007224,1360719822,1228,http://coinmarketcap.com/currencies/nexium
Expanse,81,200215.0,0.00065016,307947274,2471,http://coinmarketcap.com/currencies/expanse
Asch,82,214461.0,0.00005975,3589305439,2615,http://coinmarketcap.com/currencies/asch
Primecoin,83,921700.0,0.00022736,4053923293,11104,http://coinmarketcap.com/currencies/primecoin
Vertcoin,84,1363030.0,0.00012722,10713960069,16226,http://coinmarketcap.com/currencies/vertcoin
MonaCoin,85,20343.8,0.00008229,247220804,239,http://coinmarketcap.com/currencies/monacoin
PoSW Coin,86,115056.0,0.00009604,1198000832,1337,http://coinmarketcap.com/currencies/posw-coin
